,Unnamed: 0,Unnamed: 0.1,site_id,article,paragraph,text,pos,url,len,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function.,pronoun,ppron,i,we,you,shehe,they,ipron,article.1,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,sentences,n_sent,next_text,last_sentence,second_last_sentence,first_sentence,second_sentence,last_first_score,sec_last_first_score,sec_last_second_score,last_second_score
1716,1738,3051,2,8314,3,"Last April CEO Brian Dunn resigned over allegations about a relationship with an employee. However, Best Buys problems went beyond Dunns conduct. Its same-store sales were declining and its stock price had dropped from $45 to $25. Security analysts were predicting Best Buys ultimate demise, referring to it as Amazons showroom.",1055,http://startribune.com/business/202751281.html,2291,56,88.66,50.0,7.84,59.59,14.0,26.79,73.21,32.14,5.36,0.0,0.0,0.0,0.0,0.0,0.0,5.36,3.57,14.29,5.36,5.36,5.36,0.0,7.14,8.93,7.14,0.0,3.57,0.0,8.93,5.36,3.57,0.0,0.0,1.79,1.79,0.0,0.0,0.0,0.0,7.14,3.57,0.0,1.79,0.0,0.0,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,1.79,3.57,8.93,3.57,3.57,7.14,0.0,1.79,8.93,1.79,3.57,3.57,7.14,0.0,0.0,8.93,0.0,1.79,0.0,0.0,0.0,0.0,0.0,0.0,16.07,7.14,3.57,0.0,0.0,0.0,0.0,1.79,0.0,0.0,0.0,3.57,"['Last April CEO Brian Dunn resigned over allegations about a relationship with an employee.', 'However, Best Buy��s problems went beyond Dunn��s conduct.', 'Its same-store sales were declining and its stock price had dropped from $45 to $25.', 'Security analysts were predicting Best Buy��s ultimate demise, referring to it as ��Amazon��s showroom.��']",4,How did Best Buy get back on track while overcoming a rupture with founder Richard Schulze? Lets look beyond the headlines at the leaders involved.,"Security analysts were predicting Best Buys ultimate demise, referring to it as Amazons showroom.",Its same-store sales were declining and its stock price had dropped from $45 to $25.,How did Best Buy get back on track while overcoming a rupture with founder Richard Schulze?,Lets look beyond the headlines at the leaders involved.,"[0.9999971389770508, 2.815207380990614e-06]","[0.9999939203262329, 6.031521934346529e-06]","[0.0001146463691839017, 0.9998853206634521]","[0.8932081460952759, 0.10679183900356293]"
1717,1739,3052,2,8314,4,How did Best Buy get back on track while overcoming a rupture with founder Richard Schulze? Lets look beyond the headlines at the leaders involved.,1166,http://startribune.com/business/202751281.html,2291,26,92.84,77.92,38.39,89.84,13.0,30.77,76.92,46.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.54,15.38,7.69,11.54,7.69,0.0,19.23,3.85,3.85,3.85,0.0,0.0,3.85,3.85,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0,3.85,0.0,3.85,0.0,0.0,0.0,0.0,3.85,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.23,0.0,15.38,7.69,7.69,0.0,3.85,7.69,0.0,19.23,0.0,15.38,7.69,3.85,0.0,0.0,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,3.85,0.0,0.0,0.0,3.85,0.0,0.0,0.0,0.0,0.0,0.0,"['How did Best Buy get back on track while overcoming a rupture with founder Richard Schulze?', 'Let��s look beyond the headlines at the leaders involved.']",2,"Dunns resignation was just the beginning of Best Buys troubles. In May, Schulze stepped aside as chair for failing to disclose allegations about Dunn, and later resigned from the board, threatening to take Best Buy private. Meanwhile, interim CEO Mike Mikan was preparing a plan to preserve Best Buy by closing stores and cutting costs. This upset Schulze as he feared his baby would be dismantled.",Lets look beyond the headlines at the leaders involved.,How did Best Buy get back on track while overcoming a rupture with founder Richard Schulze?,Dunns resignation was just the beginning of Best Buys troubles.,"In May, Schulze stepped aside as chair for failing to disclose allegations about Dunn, and later resigned from the board, threatening to take Best Buy private.","[0.9999213218688965, 7.862405618652701e-05]","[0.9999964237213135, 3.593580458982615e-06]","[0.9999973773956299, 2.6559916932455963e-06]","[0.006611166056245565, 0.9933887720108032]"
1718,1740,3053,2,8314,5,"Dunns resignation was just the beginning of Best Buys troubles. In May, Schulze stepped aside as chair for failing to disclose allegations about Dunn, and later resigned from the board, threatening to take Best Buy private. Meanwhile, interim CEO Mike Mikan was preparing a plan to preserve Best Buy by closing stores and cutting costs. This upset Schulze as he feared his baby would be dismantled.",1229,http://startribune.com/business/202751281.html,2291,68,91.29,76.89,1.0,1.0,17.0,27.94,76.47,38.24,4.41,2.94,0.0,0.0,0.0,2.94,0.0,1.47,4.41,16.18,7.35,4.41,5.88,0.0,8.82,10.29,8.82,0.0,0.0,0.0,14.71,4.41,10.29,4.41,1.47,4.41,7.35,1.47,0.0,0.0,2.94,4.41,1.47,0.0,1.47,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.24,0.0,7.35,8.82,5.88,4.41,2.94,2.94,4.41,8.82,2.94,1.47,4.41,2.94,0.0,0.0,7.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76,5.88,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Dunn��s resignation was just the beginning of Best Buy��s troubles.', 'In May, Schulze stepped aside as chair for failing to disclose allegations about Dunn, and later resigned from the board, threatening to take Best Buy private.', 'Meanwhile, interim CEO Mike Mikan was preparing a plan to preserve Best Buy by closing stores and cutting costs.', 'This upset Schulze as he feared ��his baby�� would be dismantled.']",4,"Schulze countered in August with a preliminary offer of $26-$28 per share to take Best Buy private and bring in his own management team led by former Best Buy CEO Brad Anderson. Wall Street seemed skeptical whether he could raise $8 billion to $9 billion for the buyout. Meanwhile, Best Buys 170,000 employees, customers and shareholders wondered whether the retailer had a future.",This upset Schulze as he feared his baby would be dismantled.,"Meanwhile, interim CEO Mike Mikan was preparing a plan to preserve Best Buy by closing stores and cutting costs.",Schulze countered in August with a preliminary offer of $26-$28 per share to take Best Buy private and bring in his own management team led by former Best Buy CEO Brad Anderson.,Wall Street seemed skeptical whether he could raise $8 billion to $9 billion for the buyout.,"[0.9999973773956299, 2.612710659377626e-06]","[0.9999969005584717, 3.040755245820037e-06]","[0.9999945163726807, 5.4556221584789455e-06]","[0.9999749660491943, 2.503484756744001e-05]"
1719,1741,3054,2,8314,6,"Schulze countered in August with a preliminary offer of $26-$28 per share to take Best Buy private and bring in his own management team led by former Best Buy CEO Brad Anderson. Wall Street seemed skeptical whether he could raise $8 billion to $9 billion for the buyout. Meanwhile, Best Buys 170,000 employees, customers and shareholders wondered whether the retailer had a future.",1340,http://startribune.com/business/202751281.html,2291,66,96.29,72.77,31.94,99.0,22.0,25.76,77.27,31.82,3.03,3.03,0.0,0.0,0.0,3.03,0.0,0.0,6.06,12.12,3.03,1.52,6.06,0.0,9.09,6.06,6.06,3.03,12.12,0.0,7.58,6.06,0.0,0.0,0.0,0.0,9.09,0.0,0.0,0.0,3.03,10.61,4.55,1.52,1.52,4.55,0.0,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.64,3.03,6.06,9.09,6.06,0.0,7.58,4.55,1.52,15.15,3.03,6.06,6.06,10.61,1.52,0.0,10.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,4.55,4.55,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,6.06,"['Schulze countered in August with a preliminary offer of $26-$28 per share to take Best Buy private and bring in his own management team led by former Best Buy CEO Brad Anderson.', 'Wall Street seemed skeptical whether he could raise $8 billion to $9 billion for the buyout.', 'Meanwhile, Best Buy��s 170,000 employees, customers and shareholders wondered whether the retailer had a future.']",3,"Things changed dramatically in September when Carlson CEO Hubert Joly was elected CEO. Joly left the CEO post of Carlson to take on dual uncertainties of Best Buys ownership battle and unclear strategy. A brilliant strategist and astute observer, Joly recognized that Schulze would be his No. 1 shareholder whether BBY was public or private. He reached out to Schulze to engage in discussions, only to be rebuffed at first.","Meanwhile, Best Buys 170,000 employees, customers and shareholders wondered whether the retailer had a future.",Wall Street seemed skeptical whether he could raise $8 billion to $9 billion for the buyout.,Things changed dramatically in September when Carlson CEO Hubert Joly was elected CEO.,Joly left the CEO post of Carlson to take on dual uncertainties of Best Buys ownership battle and unclear strategy.,"[0.9999912977218628, 8.748639629629906e-06]","[0.9999599456787109, 4.007882671430707e-05]","[0.9999868869781494, 1.3124054021318443e-05]","[0.9999972581863403, 2.7776479782914976e-06]"
1720,1742,3055,2,8314,7,"Things changed dramatically in September when Carlson CEO Hubert Joly was elected CEO. Joly left the CEO post of Carlson to take on dual uncertainties of Best Buys ownership battle and unclear strategy. A brilliant strategist and astute observer, Joly recognized that Schulze would be his No. 1 shareholder whether BBY was public or private. He reached out to Schulze to engage in discussions, only to be rebuffed at first.",1451,http://startribune.com/business/202751281.html,2291,71,85.59,75.94,17.93,52.17,14.2,30.99,77.46,40.85,5.63,2.82,0.0,0.0,0.0,2.82,0.0,2.82,2.82,15.49,7.04,2.82,7.04,1.41,11.27,2.82,1.41,2.82,2.82,0.0,7.04,4.23,2.82,1.41,1.41,0.0,11.27,0.0,0.0,0.0,2.82,9.86,1.41,1.41,1.41,4.23,0.0,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.08,0.0,5.63,8.45,2.82,0.0,5.63,4.23,0.0,15.49,1.41,8.45,4.23,5.63,1.41,0.0,2.82,0.0,0.0,1.41,0.0,1.41,0.0,0.0,0.0,9.86,7.04,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Things changed dramatically in September when Carlson CEO Hubert Joly was elected CEO.', 'Joly left the CEO post of Carlson to take on dual uncertainties of Best Buy��s ownership battle and unclear strategy.', 'A brilliant strategist and astute observer, Joly recognized that Schulze would be his No.', '1 shareholder whether BBY was public or private.', 'He reached out to Schulze to engage in discussions, only to be rebuffed at first.']",5,"Joly recognized Best Buy couldnt just cut costs or return to its past. Online retailing was here to stay and Amazons threat couldnt be ignored. More important, Best Buys employees, customers and shareholders needed light at the end of the tunnel.","He reached out to Schulze to engage in discussions, only to be rebuffed at first.",1 shareholder whether BBY was public or private.,Joly recognized Best Buy couldnt just cut costs or return to its past.,Online retailing was here to stay and Amazons threat couldnt be ignored.,"[0.0007196348160505295, 0.9992803931236267]","[0.999980092048645, 1.9879607862094417e-05]","[0.9999806880950928, 1.9257922758697532e-05]","[6.235633918549865e-05, 0.9999376535415649]"
1721,1743,3056,2,8314,8,"Joly recognized Best Buy couldnt just cut costs or return to its past. Online retailing was here to stay and Amazons threat couldnt be ignored. More important, Best Buys employees, customers and shareholders needed light at the end of the tunnel.",1578,http://startribune.com/business/202751281.html,2291,45,87.43,41.22,10.08,25.77,15.0,15.56,77.78,31.11,2.22,0.0,0.0,0.0,0.0,0.0,0.0,2.22,4.44,8.89,4.44,4.44,6.67,0.0,11.11,6.67,6.67,0.0,0.0,2.22,13.33,6.67,6.67,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,6.67,2.22,0.0,2.22,2.22,0.0,2.22,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,4.44,11.11,4.44,2.22,8.89,4.44,0.0,11.11,2.22,4.44,6.67,8.89,0.0,0.0,13.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,6.67,4.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Joly recognized Best Buy couldn��t just cut costs or return to its past.', 'Online retailing was here to stay and Amazon��s threat couldn��t be ignored.', 'More important, Best Buy��s employees, customers and shareholders needed light at the end of the tunnel.']",3,"With Christmas approaching, Joly announced his Renew Blue strategy: a balance between retail and online strategies and in-store matching of online prices. His ace in the hole Amazon couldnt match: the Geek Squad to help customers set up their home electronics. Joly also reshaped his leadership team to fit the new strategy, replacing Dunns team with Shawn Score to lead retail, Scott Druckslag to spearhead online, and Sharon McCollam as CFO.","More important, Best Buys employees, customers and shareholders needed light at the end of the tunnel.",Online retailing was here to stay and Amazons threat couldnt be ignored.,"With Christmas approaching, Joly announced his Renew Blue strategy: a balance between retail and online strategies and in-store matching of online prices.",His ace in the hole Amazon couldnt match: the Geek Squad to help customers set up their home electronics.,"[0.9999785423278809, 2.1420337361632846e-05]","[0.9999929666519165, 7.0774954110675026e-06]","[0.999996542930603, 3.465560212134733e-06]","[0.8943415284156799, 0.10565843433141708]"
1722,1744,3057,2,8314,9,"With Christmas approaching, Joly announced his Renew Blue strategy: a balance between retail and online strategies and in-store matching of online prices. His ace in the hole Amazon couldnt match: the Geek Squad to help customers set up their home electronics. Joly also reshaped his leadership team to fit the new strategy, replacing Dunns team with Shawn Score to lead retail, Scott Druckslag to spearhead online, and Sharon McCollam as CFO.",1657,http://startribune.com/business/202751281.html,2291,74,97.94,86.02,2.75,9.26,24.67,22.97,68.92,32.43,5.41,5.41,0.0,0.0,0.0,4.05,1.35,0.0,5.41,16.22,0.0,1.35,6.76,0.0,1.35,4.05,1.35,0.0,0.0,0.0,1.35,0.0,1.35,0.0,0.0,0.0,12.16,0.0,1.35,0.0,4.05,1.35,0.0,1.35,0.0,0.0,0.0,0.0,1.35,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.27,5.41,10.81,8.11,2.7,0.0,0.0,0.0,1.35,13.51,4.05,6.76,2.7,10.81,2.7,1.35,6.76,1.35,0.0,1.35,1.35,0.0,0.0,0.0,0.0,13.51,4.05,5.41,2.7,0.0,0.0,0.0,1.35,0.0,0.0,0.0,0.0,"['With Christmas approaching, Joly announced his ��Renew Blue�� strategy: a balance between retail and online strategies and in-store matching of online prices.', 'His ace in the hole Amazon couldn��t match: the Geek Squad to help customers set up their home electronics.', 'Joly also reshaped his leadership team to fit the new strategy, replacing Dunn��s team with Shawn Score to lead retail, Scott Druckslag to spearhead online, and Sharon McCollam as CFO.']",3,"Best Buys shares continued to fall to a December low of $11.29, as investors didnt believe Schulze could make a fully financed offer, nor did they think Joly could turn around Best Buy. In late December, Schulze and the Best Buy board agreed to extend his deadline for two months. Meanwhile, Joly continued to reach out to Schulze.","Joly also reshaped his leadership team to fit the new strategy, replacing Dunns team with Shawn Score to lead retail, Scott Druckslag to spearhead online, and Sharon McCollam as CFO.",His ace in the hole Amazon couldnt match: the Geek Squad to help customers set up their home electronics.,"Best Buys shares continued to fall to a December low of $11.29, as investors didnt believe Schulze could make a fully financed offer, nor did they think Joly could turn around Best Buy.","In late December, Schulze and the Best Buy board agreed to extend his deadline for two months.","[0.9999973773956299, 2.6105835786438547e-06]","[0.9999951124191284, 4.888502644462278e-06]","[0.9999406337738037, 5.9390917158452794e-05]","[0.9999901056289673, 9.880613106361125e-06]"
1723,1745,3058,2,8314,10,"Best Buys shares continued to fall to a December low of $11.29, as investors didnt believe Schulze could make a fully financed offer, nor did they think Joly could turn around Best Buy. In late December, Schulze and the Best Buy board agreed to extend his deadline for two months. Meanwhile, Joly continued to reach out to Schulze.",1784,http://startribune.com/business/202751281.html,2291,60,95.54,63.05,65.14,99.0,20.0,20.0,80.0,38.33,3.33,3.33,0.0,0.0,0.0,1.67,1.67,0.0,5.0,18.33,5.0,5.0,5.0,1.67,11.67,8.33,6.67,0.0,3.33,0.0,10.0,8.33,1.67,0.0,0.0,1.67,6.67,0.0,0.0,0.0,1.67,10.0,3.33,1.67,3.33,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,1.67,5.0,6.67,5.0,0.0,1.67,8.33,0.0,23.33,3.33,8.33,11.67,5.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.33,5.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,"['Best Buy��s shares continued to fall to a December low of $11.29, as investors didn��t believe Schulze could make a fully financed offer, nor did they think Joly could turn around Best Buy.', 'In late December, Schulze and the Best Buy board agreed to extend his deadline for two months.', 'Meanwhile, Joly continued to reach out to Schulze.']",3,"In January, Joly announced good news: Retail sales didnt decline during Christmas as expected, and online sales climbed 10 percent. The bleeding was stanched, and the turnaround underway.","Meanwhile, Joly continued to reach out to Schulze.","In late December, Schulze and the Best Buy board agreed to extend his deadline for two months.","In January, Joly announced good news: Retail sales didnt decline during Christmas as expected, and online sales climbed 10 percent.","The bleeding was stanched, and the turnaround underway.","[0.999996542930603, 3.4876118206739193e-06]","[0.9999918937683105, 8.067004273470957e-06]","[0.998945415019989, 0.001054632244631648]","[0.33597514033317566, 0.6640247702598572]"
1724,1746,3059,2,8314,11,"In January, Joly announced good news: Retail sales didnt decline during Christmas as expected, and online sales climbed 10 percent. The bleeding was stanched, and the turnaround underway.",1879,http://startribune.com/business/202751281.html,2291,29,95.62,50.0,11.5,85.87,14.5,37.93,62.07,27.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,10.34,3.45,0.0,10.34,0.0,3.45,3.45,3.45,0.0,3.45,3.45,3.45,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45,0.0,0.0,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45,3.45,3.45,0.0,0.0,6.9,0.0,3.45,0.0,3.45,0.0,3.45,0.0,3.45,17.24,3.45,3.45,10.34,3.45,0.0,0.0,10.34,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.69,6.9,10.34,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['In January, Joly announced good news: Retail sales didn��t decline during Christmas as expected, and online sales climbed 10 percent.', 'The bleeding was stanched, and the turnaround underway.']",2,"Meanwhile, discussions between Schulze and Best Buy continued, leading to the agreement announced March 25: Schulze became chairman emeritus as Anderson and former COO Alan Lenzmeier rejoined the board, representing Schulzes 21 percent stake. Jolys role as CEO was cemented. To reinforce Schulzes newfound confidence, Joly on April 5 announced a strategic partnership with Samsung to install boutiques in Best Buy stores, giving Samsung a showroom to compete with Apple stores.","The bleeding was stanched, and the turnaround underway.","In January, Joly announced good news: Retail sales didnt decline during Christmas as expected, and online sales climbed 10 percent.","Meanwhile, discussions between Schulze and Best Buy continued, leading to the agreement announced March 25: Schulze became chairman emeritus as Anderson and former COO Alan Lenzmeier rejoined the board, representing Schulzes 21 percent stake.",Jolys role as CEO was cemented.,"[0.9999818801879883, 1.8127622752217576e-05]","[0.9999890327453613, 1.1016511962225195e-05]","[0.9999970197677612, 2.9326054118428146e-06]","[0.9999845027923584, 1.546812563901767e-05]"
1725,1747,3060,2,8314,12,"Meanwhile, discussions between Schulze and Best Buy continued, leading to the agreement announced March 25: Schulze became chairman emeritus as Anderson and former COO Alan Lenzmeier rejoined the board, representing Schulzes 21 percent stake. Jolys role as CEO was cemented. To reinforce Schulzes newfound confidence, Joly on April 5 announced a strategic partnership with Samsung to install boutiques in Best Buy stores, giving Samsung a showroom to compete with Apple stores.",1942,http://startribune.com/business/202751281.html,2291,74,99.0,70.57,7.04,99.0,24.67,41.89,56.76,25.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.41,14.86,1.35,1.35,5.41,0.0,4.05,6.76,6.76,0.0,4.05,1.35,6.76,6.76,0.0,0.0,0.0,0.0,5.41,0.0,1.35,0.0,0.0,4.05,1.35,1.35,0.0,0.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.16,1.35,8.11,9.46,4.05,0.0,4.05,0.0,0.0,10.81,1.35,2.7,6.76,5.41,0.0,0.0,5.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.16,4.05,6.76,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Meanwhile, discussions between Schulze and Best Buy continued, leading to the agreement announced March 25: Schulze became chairman emeritus as Anderson and former COO Alan Lenzmeier rejoined the board, representing Schulze��s 21 percent stake.', 'Joly��s role as CEO was cemented.', 'To reinforce Schulze��s newfound confidence, Joly on April 5 announced a strategic partnership with Samsung to install boutiques in Best Buy stores, giving Samsung a showroom to compete with Apple stores.']",3,"While Best Buy still has a long way to go, the road ahead is now clearer. From their December low, Best Buy shares have more than doubled to $26, so Joly can focus all of his energies on making this turnaround successful.","To reinforce Schulzes newfound confidence, Joly on April 5 announced a strategic partnership with Samsung to install boutiques in Best Buy stores, giving Samsung a showroom to compete with Apple stores.",Jolys role as CEO was cemented.,"While Best Buy still has a long way to go, the road ahead is now clearer.","From their December low, Best Buy shares have more than doubled to $26, so Joly can focus all of his energies on making this turnaround successful.","[0.9999966621398926, 3.2937364267127123e-06]","[0.9999127388000488, 8.727532986085862e-05]","[0.9999972581863403, 2.7002135993825505e-06]","[0.9999977350234985, 2.308486500623985e-06]"
